1,41
2,37
3,12
4,50
5,4
6,43
7,32
8,4
9,4
10,39
11,8
12,23
13,37
14,4
15,17
16,46
17,37
18,38
19,36
20,25
21,9
22,16
23,49
24,2
25,25
26,19
27,16
28,33
29,13
30,3
31,20
32,2
33,11
34,7
35,39
36,20
37,28
38,16
39,33
40,35
41,13
42,14
43,43
44,22
45,12
46,45
47,18
48,29
49,8
50,35
51,21
52,28
53,44
54,45
55,21
56,34
57,16
58,13
59,23
60,50
61,12
62,14
63,40
64,29
65,49
66,16
67,5
68,16
69,31
70,25
71,47
72,34
73,36
74,41
75,7
76,36
77,29
78,44
79,19
80,46
81,8
82,15
83,41
84,3
85,39
86,18
87,13
88,30
89,31
90,9
91,27
92,39
93,37
94,23
95,36
96,37
97,3
98,16
99,17
100,38
