1,16,314066,1
2,9,678937,0
3,16,172479,1
4,40,303266,1
5,14,789318,0
6,44,275376,1
7,5,873144,0
8,26,90602,1
9,17,514266,0
10,8,278971,1
11,25,899353,0
12,35,335157,1
13,32,147853,1
14,5,485375,1
15,32,687650,0
16,40,626586,0
17,47,91381,1
18,33,935861,0
19,17,622559,0
20,6,477391,1
21,36,782386,0
22,45,396330,1
23,20,934979,0
24,8,652650,0
25,50,759168,0
26,49,321823,1
27,36,112693,1
28,22,702124,0
29,43,376932,1
30,14,887382,0
31,16,438023,1
32,42,381188,1
33,37,148850,1
34,40,991916,0
35,37,966992,0
36,24,705712,0
37,9,425474,1
38,24,841138,0
39,36,277173,1
40,48,269201,1
41,28,314848,1
42,11,826263,0
43,17,722708,0
44,7,277066,1
45,21,780469,0
46,49,727997,0
47,24,471204,1
48,3,217960,1
49,40,171816,1
50,44,469932,1
51,43,707277,0
52,2,953986,0
53,4,79224,1
54,44,550251,0
55,8,204574,1
56,41,330381,1
57,35,124652,1
58,6,404214,1
59,13,962007,0
60,37,471180,1
61,10,43454,1
62,49,782001,0
63,6,860071,0
64,12,842334,0
65,25,32193,1
66,29,70916,1
67,3,875592,0
68,17,155442,1
69,26,811824,0
70,5,692329,0
71,8,102316,1
72,8,253491,1
73,42,723204,0
74,13,186981,1
75,16,967662,0
76,35,107723,1
77,11,234795,1
78,16,486815,1
79,6,570819,0
80,17,41732,1
81,40,331954,1
82,8,515438,0
83,21,94105,1
84,21,152215,1
85,29,151120,1
86,23,579293,0
87,22,824917,0
88,28,251405,1
89,43,305741,1
90,19,689532,0
91,28,202346,1
92,35,314194,1
93,41,136524,1
94,33,112297,1
95,39,330827,1
96,22,579312,0
97,27,785877,0
98,49,56577,1
99,6,149493,1
100,22,413548,1
