1,9,5,9,85,6
2,10,5,10,94,
3,9,5,9,85,
4,74,22,74,737,
5,44,42,44,435,7
6,84,41,84,832,6
7,81,1,81,802,58
8,2,31,2,16,
9,61,4,61,602,
10,8,21,8,72,
11,42,43,42,412,
12,85,30,85,846,34
13,60,10,60,592,
14,20,15,20,419,
15,62,7,62,195,
16,30,2,30,616,
17,13,23,13,292,66
18,40,33,40,298,
19,3,22,3,121,
20,45,5,45,396,
21,43,4,43,21,
22,56,33,56,519,
23,10,6,10,447,64
24,7,10,7,648,1
25,2,6,2,427,48
26,66,3,66,557,
27,12,19,12,999,
28,19,10,19,95,5
29,11,6,11,64,
30,30,40,30,17,32
31,6,42,6,651,
32,37,46,37,114,
33,11,34,11,182,
34,80,34,80,100,67
35,84,3,84,296,
36,91,17,91,50,
37,67,13,67,365,
38,6,7,6,190,
39,34,23,34,103,
40,25,28,25,790,47
41,45,23,45,835,
42,56,12,56,904,
43,45,15,45,670,
44,23,27,23,665,
45,29,33,29,54,
46,65,9,65,336,
47,17,33,17,243,33
48,33,17,33,129,
49,70,37,70,445,15
50,88,14,88,554,
51,73,9,73,758,49
52,27,24,27,445,23
53,17,16,17,227,23
54,48,46,48,283,
55,32,48,32,529,
56,92,49,92,646,
57,95,43,95,166,9
58,97,37,97,649,
59,85,7,85,321,31
60,62,18,62,696,1
61,73,19,73,876,41
62,13,7,13,723,35
63,36,43,36,262,51
64,38,36,38,162,
65,71,14,71,475,
66,27,20,27,638,
67,39,7,39,499,
68,13,41,13,313,
69,81,46,81,914,
70,92,40,92,946,
71,79,9,79,966,
72,52,26,52,845,34
73,21,11,21,580,
74,25,29,25,617,44
75,97,13,97,699,
76,92,34,92,727,79
77,47,49,47,122,
78,27,46,27,352,
79,57,24,57,373,
80,73,14,73,130,7
81,25,48,25,358,5
82,21,29,21,849,
83,99,37,99,701,
84,68,13,68,263,
85,30,11,30,386,1
86,10,50,10,122,52
87,71,15,71,806,
88,94,5,94,915,9
89,21,39,21,784,
90,42,36,42,170,
91,98,11,98,515,
92,86,21,86,18,14
93,42,49,42,900,
94,18,9,18,202,
95,24,12,24,79,
96,31,16,31,568,8
97,73,37,73,247,
98,58,29,58,669,
99,95,48,95,199,23
100,58,29,58,960,
