1,71,71
2,73,73
3,50,50
4,57,57
5,77,77
6,79,79
7,37,37
8,13,13
9,32,32
10,33,33
11,15,15
12,69,69
13,27,27
14,67,67
15,38,38
16,96,96
17,13,13
18,2,2
19,32,32
20,27,27
21,95,95
22,75,75
23,5,5
24,37,37
25,19,19
26,92,92
27,51,51
28,79,79
29,62,62
30,19,19
31,77,77
32,89,89
33,33,33
34,41,41
35,28,28
36,54,54
37,53,53
38,1,1
39,10,10
40,98,98
41,72,72
42,94,94
43,53,53
44,3,3
45,9,9
46,97,97
47,24,24
48,85,85
49,19,19
50,19,19
51,23,23
52,81,81
53,49,49
54,100,100
55,13,13
56,57,57
57,69,69
58,52,52
59,45,45
60,37,37
61,53,53
62,45,45
63,70,70
64,7,7
65,34,34
66,93,93
67,33,33
68,65,65
69,74,74
70,64,64
71,59,59
72,58,58
73,40,40
74,5,5
75,62,62
76,42,42
77,17,17
78,24,24
79,58,58
80,15,15
81,75,75
82,23,23
83,46,46
84,31,31
85,94,94
86,52,52
87,61,61
88,88,88
89,52,52
90,32,32
91,31,31
92,1,1
93,7,7
94,33,33
95,51,51
96,38,38
97,20,20
98,38,38
99,10,10
100,13,13
