1,23,23
2,85,85
3,38,38
4,4,4
5,84,84
6,17,17
7,10,10
8,29,29
9,17,17
10,72,72
11,65,65
12,16,16
13,15,15
14,91,91
15,3,3
16,61,61
17,1,1
18,32,32
19,38,38
20,17,17
21,15,15
22,96,96
23,62,62
24,97,97
25,13,13
26,57,57
27,84,84
28,29,29
29,29,29
30,19,19
31,84,84
32,87,87
33,75,75
34,13,13
35,39,39
36,91,91
37,25,25
38,23,23
39,84,84
40,89,89
41,67,67
42,4,4
43,85,85
44,74,74
45,28,28
46,4,4
47,33,33
48,52,52
49,37,37
50,28,28
51,49,49
52,70,70
53,56,56
54,20,20
55,79,79
56,68,68
57,80,80
58,11,11
59,62,62
60,9,9
61,47,47
62,48,48
63,85,85
64,91,91
65,5,5
66,31,31
67,80,80
68,28,28
69,2,2
70,89,89
71,98,98
72,84,84
73,95,95
74,61,61
75,52,52
76,93,93
77,39,39
78,62,62
79,22,22
80,37,37
81,79,79
82,100,100
83,58,58
84,65,65
85,56,56
86,99,99
87,87,87
88,65,65
89,47,47
90,80,80
91,49,49
92,8,8
93,60,60
94,73,73
95,2,2
96,57,57
97,35,35
98,46,46
99,10,10
100,28,28
