1,64,635
2,86,379
3,56,852
4,78,554
5,91,776
6,7,903
7,64,66
8,66,635
9,99,650
10,52,980
11,59,510
12,20,628
13,83,249
14,78,586
15,76,749
16,3,192
17,66,822
18,98,772
19,86,752
20,92,27
21,15,651
22,52,970
23,60,852
24,89,309
25,5,914
26,57,145
27,63,517
28,31,595
29,41,882
30,10,47
31,69,565
32,68,628
33,13,625
34,53,300
35,6,718
36,96,405
37,38,97
38,44,687
39,56,675
40,94,126
41,24,522
42,18,52
43,49,429
44,85,727
45,76,956
46,25,372
47,50,431
48,47,556
49,61,936
50,36,233
51,73,172
52,12,484
53,83,846
54,91,756
55,4,244
56,62,239
57,13,378
58,89,497
59,8,465
60,63,601
61,10,353
62,69,723
63,21,116
64,13,358
65,16,826
66,53,902
67,68,35
68,95,617
69,71,68
70,14,120
71,34,887
72,47,398
73,41,75
74,42,626
75,57,90
76,27,219
77,46,681
78,97,206
79,56,120
80,13,154
81,55,521
82,47,670
83,50,944
84,93,707
85,82,131
86,63,334
87,99,465
88,90,405
89,35,410
90,73,566
91,64,260
92,7,453
93,9,963
94,99,554
95,10,124
96,34,540
97,66,463
98,11,496
99,27,926
100,56,811
